Date,Time,Meal_Time,Student_ID,Item,Quantity,Actual_Item_Price,Price,Total_Amount,Payment_Mode,Weather,Rating,Taste,DayOfWeek,Hour,Month,Week,DayOfWeek_enc,Meal_Time_enc,Weather_enc,Item_enc,Wastage_Risk
2025-09-15,13:57:00,Lunch,34,Bisibele Bath,1,25,25,25,UPI,Sunny,3.7,Good,Monday,13,9,38,0,1,0,0,0
2025-09-15,09:44:00,Breakfast,70,Coffee,2,15,15,30,UPI,Rainy,3.3,Average,Monday,9,9,38,0,0,1,1,1
2025-09-15,13:06:00,Lunch,98,Chapati,1,25,25,25,UPI,Windy,4.5,Excellent,Monday,13,9,38,0,1,2,2,0
2025-09-15,16:40:00,Evening Snacks,6,Coffee,2,50,50,100,UPI,Rainy,4.5,Excellent,Monday,16,9,38,0,2,1,1,0
2025-09-15,12:03:00,Lunch,85,Dosa,1,15,15,15,UPI,Sunny,3.7,Good,Monday,12,9,38,0,1,0,3,0
2025-09-15,18:36:00,Evening Snacks,47,Pani Puri,1,25,25,25,Cash,Sunny,3.8,Good,Monday,18,9,38,0,2,0,4,0
2025-09-15,16:07:00,Evening Snacks,16,French Fries,3,90,90,270,UPI,Rainy,3.6,Average,Monday,16,9,38,0,2,1,5,0
2025-09-15,13:42:00,Lunch,48,Tea,1,35,35,35,Cash,Sunny,4.1,Good,Monday,13,9,38,0,1,0,6,0
2025-09-15,08:39:00,Breakfast,94,Chapati,2,45,45,90,UPI,Rainy,4.7,Excellent,Monday,8,9,38,0,0,1,2,0
2025-09-15,15:05:00,Evening Snacks,27,Tea,2,90,90,180,UPI,Cloudy,4.3,Very Good,Monday,15,9,38,0,2,3,6,0
2025-09-15,13:49:00,Lunch,46,Sandwich,2,15,15,30,UPI,Sunny,4.4,Very Good,Monday,13,9,38,0,1,0,7,0
2025-09-15,19:42:00,Evening Snacks,35,Dosa,1,40,40,40,UPI,Rainy,4.3,Very Good,Monday,19,9,38,0,2,1,3,0
2025-09-15,18:40:00,Evening Snacks,72,French Fries,1,50,50,50,UPI,Cloudy,4.0,Good,Monday,18,9,38,0,2,3,5,0
2025-09-15,18:06:00,Evening Snacks,71,Coffee,1,15,15,15,UPI,Cloudy,4.4,Very Good,Monday,18,9,38,0,2,3,1,0
2025-09-15,16:59:00,Evening Snacks,92,Pani Puri,2,35,35,70,Card,Rainy,4.3,Very Good,Monday,16,9,38,0,2,1,4,0
2025-09-15,13:22:00,Lunch,20,Dosa,1,45,45,45,Cash,Sunny,4.6,Excellent,Monday,13,9,38,0,1,0,3,0
2025-09-15,09:29:00,Breakfast,93,Dosa,1,25,25,25,UPI,Cloudy,3.8,Good,Monday,9,9,38,0,0,3,3,0
2025-09-15,16:22:00,Evening Snacks,3,Coffee,1,90,90,90,UPI,Cloudy,3.3,Average,Monday,16,9,38,0,2,3,1,0
2025-09-15,17:33:00,Evening Snacks,56,Bhel Puri,3,30,30,90,UPI,Sunny,4.4,Very Good,Monday,17,9,38,0,2,0,8,0
2025-09-15,09:39:00,Breakfast,50,Tea,1,25,25,25,UPI,Sunny,4.1,Good,Monday,9,9,38,0,0,0,6,0
2025-09-15,19:41:00,Evening Snacks,97,Dosa,1,40,40,40,UPI,Cloudy,3.9,Good,Monday,19,9,38,0,2,3,3,0
2025-09-15,17:10:00,Evening Snacks,93,Poori,1,45,45,45,Cash,Rainy,3.9,Good,Monday,17,9,38,0,2,1,9,0
2025-09-15,13:09:00,Lunch,94,Idly,1,40,40,40,UPI,Cloudy,5.0,Excellent,Monday,13,9,38,0,1,3,10,0
2025-09-15,19:00:00,Evening Snacks,38,Bisibele Bath,1,50,50,50,UPI,Cloudy,3.7,Good,Monday,19,9,38,0,2,3,0,0
2025-09-15,16:44:00,Evening Snacks,48,Pani Puri,1,45,45,45,UPI,Rainy,3.7,Good,Monday,16,9,38,0,2,1,4,0
2025-09-15,16:04:00,Evening Snacks,43,Tea,1,50,50,50,Cash,Rainy,4.0,Good,Monday,16,9,38,0,2,1,6,0
